Phylum,Common name,Brooders/Spawniers,Family,Taxa,Species, pH.experim ,Perc.Fertilization,Insemination.mins,Fert.success.mins,Sperm.pre-exp-time,egg.pre-exp.time,pH.control,pH.delta,pH.category,Sperm.per.uL,Sperm.per.mL,sperm:egg,n.females,n.males,Other,Data source,Notes/other treat,DOI,Author,Yeear
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.88,34,420,420,NA,NA,8.03,-0.15,,,"3,000,000.00",1600000,3,3,same data as 2010 study,,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,NA,38,240,240,NA,NA,7.99,#VALUE!,,,NA,NA,NA,NA,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,NA,,"R. Albright, 2011",2011
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,NA,13,240,240,NA,NA,7.99,#VALUE!,,,NA,NA,NA,NA,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,NA,,"R. Albright, 2011",2011
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,NA,14,240,240,NA,NA,7.99,#VALUE!,,,NA,NA,NA,NA,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,NA,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.97,96,180,180,NA,NA,7.97,0,,,"9,150,000.00",1355555.556,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.97,92,180,180,NA,NA,7.97,0,,,"915,000.00",135555.5556,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.97,86,180,180,NA,NA,7.97,0,,,"503,000.00",74518.51852,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.97,76,180,180,NA,NA,7.97,0,,,"91,500.00",13555.55556,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.97,42,180,180,NA,NA,7.97,0,,,"50,300.00",7451.851852,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.97,34,180,180,NA,NA,7.97,0,,,"9,150.00",1355.555556,3,3,egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.,,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.97,4,180,180,NA,NA,7.97,0,,,915,135.5555556,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.97,2,180,180,NA,NA,7.97,0,,,91.5,13.55555556,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.74,92,180,180,NA,NA,7.97,-0.23,,,"9,150,000.00",1355555.556,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.74,88,180,180,NA,NA,7.97,-0.23,,,"915,000.00",135555.5556,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.74,49,180,180,NA,NA,7.97,-0.23,,,"503,000.00",74518.51852,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.74,NA,180,180,NA,NA,7.97,-0.23,,,NA,NA,NA,NA,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.74,43,180,180,NA,NA,7.97,-0.23,,,"50,300.00",7451.851852,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.74,15,180,180,NA,NA,7.97,-0.23,,,"9,150.00",1355.555556,3,3,"used engauge digitizer, egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.74,4,180,180,NA,NA,7.97,-0.23,,,915,135.5555556,3,3,egg concentration estimated: 100 µL of eggs in A. palmata experiment = 200-250 eggs. That = average concentration of 2250 egg/mL-1. According to the study it seems that egg concentration remained fixed across experiments.,,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Mountainous Star Coral,Spawner,Merulinidae,coral,Orbicella faveolata,7.74,3,180,180,NA,NA,7.97,-0.23,,,91.5,13.55555556,3,3,"0.91, 43 (outlier? Co2 level was higher than ambient even though pH was higher than ambient)",,temp = 28,,"R. Albright, 2011",2011
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,8.013,99,180,180,NA,NA,8.013,0,,,"68,600,000.00",3430000,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,8.013,99,180,180,NA,NA,8.013,0,,,"6,490,000.00",324500,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,8.013,98,180,180,NA,NA,8.013,0,,,"615,000.00",30750,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,8.013,98,180,180,NA,NA,8.013,0,,,"58,200.00",2910,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,8.013,83,180,180,NA,NA,8.013,0,,,"5,510.00",275.5,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,8.013,34,180,180,NA,NA,8.013,0,,,521,26.05,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,7.78,99,180,180,NA,NA,8.013,-0.233,,,"68,600,000.00",3430000,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,7.78,98,180,180,NA,NA,8.013,-0.233,,,"6,490,000.00",324500,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,7.78,98,180,180,NA,NA,8.013,-0.233,,,"615,000.00",30750,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,7.78,91,180,180,NA,NA,8.013,-0.233,,,"58,200.00",2910,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,7.78,39,180,180,NA,NA,8.013,-0.233,,,"5,510.00",275.5,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Purple Tipped Acropora,Spawner,Acroporidae,coral,Acropora tenuis,7.78,2,180,180,NA,NA,8.013,-0.233,,,521,26.05,5,5,"two temperatures (27 & 30), data here is for individuals in 27 (ambient). 6 sperm concentrations",,temp = 27,,"R. Albright, B. Mason, 2013",2013
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.99,49,240,240,NA,NA,7.99,0,,,"3,210,000.00",142666.6667,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.99,38,240,240,NA,NA,7.99,0,,,"1,610,000.00",71555.55556,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.99,37,240,240,NA,NA,7.99,0,,,"641,000.00",28488.88889,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.99,19,240,240,NA,NA,7.99,0,,,"320,000.00",14222.22222,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.85,46,240,240,NA,NA,7.99,-0.14,,,"3,210,000.00",142666.6667,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.85,27,240,240,NA,NA,7.99,-0.14,,,"1,610,000.00",71555.55556,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.85,13,240,240,NA,NA,7.99,-0.14,,,"641,000.00",28488.88889,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.85,NA,240,240,NA,NA,7.99,-0.14,,,NA,NA,NA,NA,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.72,43,240,240,NA,NA,7.99,-0.27,,,"3,210,000.00",142666.6667,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.72,33,240,240,NA,NA,7.99,-0.27,,,"1,610,000.00",71555.55556,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.72,14,240,240,NA,NA,7.99,-0.27,,,"641,000.00",28488.88889,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Elkhorn Coral,Spawner,Acroporidae,coral,Acropora palmata,7.72,8,240,240,NA,NA,7.99,-0.27,,,"320,000.00",14222.22222,3,3,used engauge digitizer,,temp = 28,,"R. Albright, B. Mason, M. Miller et. Al., 2010",2010
Cnidaria,Brush Coral 2010,Spawner,Acroporidae,coral,Acropora hyacinthus,8.1,50.95,240,240,NA,NA,8.1,0,,,"1,375,000.00",#VALUE!,4,1,"used engauge digitizer, generated mean from box plot",,temp = 27,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Brush Coral 2010,Spawner,Acroporidae,coral,Acropora hyacinthus,7.9,53.25,240,240,NA,NA,8.1,-0.2,,,"1,375,000.00",#VALUE!,4,1,"used engauge digitizer, generated mean from box plot",,temp = 27,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Brush Coral 2010,Spawner,Acroporidae,coral,Acropora hyacinthus,7.7,51.05,240,240,NA,NA,8.1,-0.4,,,"1,375,000.00",#VALUE!,4,1,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 10^5 and 10^6",,temp = 27,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Brush Coral 2010,Spawner,Acroporidae,coral,Acropora hyacinthus,8.1,18,240,240,NA,NA,8.1,0,,,"1,375,000.00",#VALUE!,6,4,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 2.5 x 10^5 and 2.5 x 10^6",,temp = 28.2,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Brush Coral 2010,Spawner,Acroporidae,coral,Acropora hyacinthus,7.7,37.8,240,240,NA,NA,8.1,-0.4,,,"1,375,000.00",#VALUE!,6,4,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 2.5 x 10^5 and 2.5 x 10^6",,temp = 28.2,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Brush Coral,Spawner,Acroporidae,coral,Acropora hyacinthus,8.1,94.15,240,240,NA,NA,8.1,0,,,"550,000.00",#VALUE!,6,4,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 2.5 x 10^5 and 2.5 x 10^6",,temp = 27.3,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Brush Coral,Spawner,Acroporidae,coral,Acropora hyacinthus,7.7,89.85,240,240,NA,NA,8.1,-0.4,,,"550,000.00",#VALUE!,6,4,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 10^5 and 10^6",,temp = 27.3,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Table Coral 2011,Spawner,Acroporidae,coral,Acropora cytherea,8.1,0.165,240,240,NA,NA,8.1,0,,,"350,000.00",#VALUE!,NA,2,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 2.5 x 10^5 and 2.5 x 10^6",,temp = 27.3,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Table Coral 2011,Spawner,Acroporidae,coral,Acropora cytherea,7.7,0.07,240,240,NA,NA,8.1,-0.4,,,"350,000.00",#VALUE!,NA,2,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 2.5 x 10^5 and 2.5 x 10^6",,temp = 27.3,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,NA (stony coral) 2010,Spawner,Merulinidae,coral,Goniastrea edwardsi,8.1,73.7,240,240,NA,NA,8.1,0,,,"550,000.00",#VALUE!,3,2,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 10^5 and 10^6",,temp = 27.2,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,NA (stony coral) 2010,Spawner,Merulinidae,coral,Goniastrea edwardsi,7.7,59.9,240,240,NA,NA,8.1,-0.4,,,"550,000.00",#VALUE!,3,2,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 10^5 and 10^6",,temp = 27.2,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Mountainous Star Coral 2011,Spawner,Merulinidae,coral,Orbicella faveolata,8.1,46.34,240,240,NA,NA,8.1,0,,,"550,000.00",#VALUE!,7,3,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 10^5 and 10^6",,temp = 27,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Cnidaria,Mountainous Star Coral 2011,Spawner,Merulinidae,coral,Orbicella faveolata,7.7,41,240,240,NA,NA,8.1,-0.4,,,"550,000.00",#VALUE!,7,3,"used engauge digitizer, generated mean from box plot. Sperm concentrations mean of 10^5 and 10^6",,temp = 27,https://d-nb.info/109588414X/34,"S. Striewski, 2011",2012
Crustacean,amphipod,Brooder,Echinogammarus,amphipod,Echinogammarus marinus,7.5,19.75,NA,NA,NA,NA,8,-0.5,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2009.03.017,,2009
Crustacean,amphipod,Brooder,Echinogammarus,amphipod,Echinogammarus marinus,7.5,13.8,NA,NA,NA,NA,8,-0.5,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2009.03.017,Egilsdottir 2009,2009
Crustacean,amphipod,Brooder,Echinogammarus,amphipod,Echinogammarus marinus,8,17.32,NA,NA,NA,NA,8,0,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2009.03.017,Egilsdottir 2009,2009
Crustacean,amphipod,Brooder,Echinogammarus,amphipod,Echinogammarus marinus,8,17,NA,NA,NA,NA,8,0,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2009.03.017,Egilsdottir 2009,2009
Crustacean,Florida stone crab,Brooder,Menippe,crab,Menippe mercenaria,8,79.3,NA,NA,NA,NA,8,0,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.jembe.2017.09.001,Gravinese 2018,2018
Crustacean,Florida stone crab,Brooder,Menippe,crab,Menippe mercenaria,7.5,54.5,NA,NA,NA,NA,8,-0.5,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.jembe.2017.09.001,Gravinese 2019,2019
Crustacean,copepod,Brooder,Acartia,copepod,Acartia erythraea,6.86,50.792,NA,NA,NA,NA,8.14,-1.28,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2004.05.005,Kurihara 2004,2004
Crustacean,copepod,Brooder,Acartia,copepod,Acartia erythraea,7.02,76.53,NA,NA,NA,NA,8.14,-1.12,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2004.05.005,Kurihara 2004,2004
Crustacean,copepod,Brooder,Acartia,copepod,Acartia erythraea,7.4,82.3,NA,NA,NA,NA,8.14,-0.74,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2004.05.005,Kurihara 2004,2004
Crustacean,copepod,Brooder,Acartia,copepod,Acartia erythraea,8.14,91.272,NA,NA,NA,NA,8.14,0,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2004.05.005,Kurihara 2004,2004
Crustacean,copepod,Brooder,Acartia,copepod,Acartia tsuensis,7.32,66,NA,NA,NA,NA,8.17,-0.85,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2008.03.023,Kurihara 2008,2008
Crustacean,copepod,Brooder,Acartia,copepod,Acartia tsuensis,7.32,69.8,NA,NA,NA,NA,8.17,-0.85,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2008.03.023,Kurihara 2008,2008
Crustacean,copepod,Brooder,Acartia,copepod,Acartia tsuensis,7.32,73.4,NA,NA,NA,NA,8.17,-0.85,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2008.03.023,Kurihara 2008,2008
Crustacean,copepod,Brooder,Acartia,copepod,Acartia tsuensis,8.17,80.7,NA,NA,NA,NA,8.17,0,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2008.03.023,Kurihara 2008,2008
Crustacean,copepod,Brooder,Acartia,copepod,Acartia tsuensis,8.17,84.1,NA,NA,NA,NA,8.17,0,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2008.03.023,Kurihara 2008,2008
Crustacean,copepod,Brooder,Acartia,copepod,Acartia tsuensis,8.17,80.7,NA,NA,NA,NA,8.17,0,,NA,NA,NA,NA,NA,,,,https://doi.org/10.1016/j.marpolbul.2008.03.023,Kurihara 2008,2008
Crustacean,copepod,Brooder,Calanus,copepod,Calanus finmarchicus,6.95,4.33,NA,NA,NA,NA,8.23,-1.28,,NA,NA,NA,NA,NA,,,,http://dx.doi.org/10.3354/meps07142,"Mayor, 2007",2007
Crustacean,copepod,Brooder,Calanus,copepod,Calanus finmarchicus,8.23,40.6,NA,NA,NA,NA,8.23,0,,NA,NA,NA,NA,NA,,,,http://dx.doi.org/10.3354/meps07142,"Mayor, 2008",2008
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,96.2,15,120,0,20,8.2,-0.6,,1000000,1000,NA,2,2,4,Engauge Digitizer,20ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,92.7,15,120,0,20,8.2,-0.6,,1000000,1000,NA,2,2,4,Engauge Digitizer,24ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,88.6,15,120,0,20,8.2,-0.6,,1000000,1000,NA,2,2,4,Engauge Digitizer,26ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,91.4,15,120,0,20,8.2,-0.4,,1000000,1000,NA,2,2,4,Engauge Digitizer,20ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,93,15,120,0,20,8.2,-0.4,,1000000,1000,NA,2,2,4,Engauge Digitizer,24ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
Echinodermata,Sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,89.5,15,120,0,20,8.2,-0.4,,1000000,1000,NA,2,2,4,Engauge Digitizer,26ºC,https://doi.org/10.1098/rspb.2008.1935,Byrne,2009
